Attaching to vllm-autoheal, vllm-chat, vllm-embed
vllm-chat  | (APIServer pid=1) INFO:     172.24.0.5:37200 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:53704 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:34:42 [loggers.py:271] Engine 000: Avg prompt throughput: 111.8 tokens/s, Avg generation throughput: 58.3 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52860 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:52876 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     127.0.0.1:55966 - "GET /health HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.5:54824 - "GET /metrics HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:33482 - "GET /v1/models HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO 06-14 01:34:52 [loggers.py:271] Engine 000: Avg prompt throughput: 330.4 tokens/s, Avg generation throughput: 59.0 tokens/s, Running: 4 reqs, Waiting: 0 reqs, GPU KV cache usage: 26.7%, Prefix cache hit rate: 0.0%
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.5:41594 - "GET /metrics HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36426 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "POST /v1/chat/completions HTTP/1.1" 200 OK
vllm-chat   | (APIServer pid=1) INFO:     172.24.0.2:36436 - "GET /v1/models HTTP/1.1" 200 OK
vllm-embed  | (APIServer pid=1) INFO:     172.24.0.2:44896 - "GET /v1/models HTTP/1.1" 200 OK
